phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	39	7	0
0	2	38	47	0
0	3	37	189	0
0	4	36	536	0
0	5	35	1348	0
0	6	34	3100	0
0	7	33	6843	0
0	8	32	14335	0
0	9	31	28279	0
0	10	30	55879	0
0	11	29	103585	0
0	12	28	185109	0
0	13	27	285195	0
0	14	26	437185	0
0	15	25	585592	0
0	16	24	726901	0
0	17	23	887272	0
0	18	22	963636	0
0	19	21	943333	0
0	20	20	856525	0
0	21	19	716093	0
0	22	18	582734	0
0	23	17	463816	0
0	24	16	369034	0
0	25	15	280901	0
0	26	14	203594	0
0	27	13	139643	0
0	28	12	85137	0
0	29	11	46581	0
0	30	10	25850	0
0	31	9	0	514
0	32	8	0	484
0	33	7	0	341
0	34	6	0	201
0	35	5	0	94
0	36	4	0	45
0	37	3	0	18
0	38	2	0	4
0	39	1	0	3
0	40	0	0	16
1	0	-1	1	0
1	1	39	7	0
1	2	38	41	0
1	3	37	185	0
1	4	36	657	0
1	5	35	2095	0
1	6	34	5353	0
1	7	33	11961	0
1	8	32	26493	0
1	9	31	56015	0
1	10	30	104945	0
1	11	29	178535	0
1	12	28	264191	0
1	13	27	381768	0
1	14	26	535349	0
1	15	25	687893	0
1	16	24	815559	0
1	17	23	859956	0
1	18	22	876786	0
1	19	21	884937	0
1	20	20	780765	0
1	21	19	662823	0
1	22	18	559832	0
1	23	17	428750	0
1	24	16	316389	0
1	25	15	213531	0
1	26	14	145036	0
1	27	13	94938	0
1	28	12	55614	0
1	29	11	32168	0
1	30	10	17036	0
1	31	9	0	169
1	32	8	0	115
1	33	7	0	60
1	34	6	0	26
1	35	5	0	11
1	36	4	0	5
1	37	3	0	2
1	38	2	0	2
1	39	1	0	0
1	40	0	0	3
2	0	-1	1	0
2	1	39	7	0
2	2	38	41	0
2	3	37	185	0
2	4	36	649	0
2	5	35	2022	0
2	6	34	5486	0
2	7	33	13333	0
2	8	32	30984	0
2	9	31	62446	0
2	10	30	111113	0
2	11	29	175721	0
2	12	28	253706	0
2	13	27	362460	0
2	14	26	504100	0
2	15	25	660032	0
2	16	24	757579	0
2	17	23	846770	0
2	18	22	918906	0
2	19	21	874094	0
2	20	20	767043	0
2	21	19	719148	0
2	22	18	611405	0
2	23	17	450281	0
2	24	16	307910	0
2	25	15	219625	0
2	26	14	146171	0
2	27	13	90472	0
2	28	12	56225	0
2	29	11	33193	0
2	30	10	18613	0
2	31	9	0	75
2	32	8	0	87
2	33	7	0	67
2	34	6	0	33
2	35	5	0	9
2	36	4	0	4
2	37	3	0	2
2	38	2	0	1
2	39	1	0	1
2	40	0	0	2
