phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	38	7	0
0	2	37	37	0
0	3	36	153	0
0	4	35	559	0
0	5	34	1885	0
0	6	33	5297	0
0	7	32	13503	0
0	8	31	29833	0
0	9	30	55342	0
0	10	29	98003	0
0	11	28	155931	0
0	12	27	260890	0
0	13	26	397171	0
0	14	25	560637	0
0	15	24	689689	0
0	16	23	776417	0
0	17	22	855444	0
0	18	21	887604	0
0	19	20	909093	0
0	20	19	847825	0
0	21	18	719820	0
0	22	17	585630	0
0	23	16	427933	0
0	24	15	303669	0
0	25	14	187731	0
0	26	13	110907	0
0	27	12	64446	0
0	28	11	35348	0
0	29	10	18719	0
0	30	9	0	125
0	31	8	0	135
0	32	7	0	106
0	33	6	0	56
0	34	5	0	33
0	35	4	0	11
0	36	3	0	4
0	37	2	0	2
0	38	1	0	0
0	39	0	0	5
1	0	-1	1	0
1	1	38	7	0
1	2	37	29	0
1	3	36	129	0
1	4	35	461	0
1	5	34	1509	0
1	6	33	4411	0
1	7	32	10717	0
1	8	31	23661	0
1	9	30	46407	0
1	10	29	84867	0
1	11	28	138027	0
1	12	27	211897	0
1	13	26	341829	0
1	14	25	519794	0
1	15	24	728681	0
1	16	23	902598	0
1	17	22	1000163	0
1	18	21	1052852	0
1	19	20	1015537	0
1	20	19	878827	0
1	21	18	677988	0
1	22	17	494668	0
1	23	16	322848	0
1	24	15	212008	0
1	25	14	134551	0
1	26	13	90540	0
1	27	12	54419	0
1	28	11	32616	0
1	29	10	17725	0
1	30	9	0	75
1	31	8	0	79
1	32	7	0	40
1	33	6	0	20
1	34	5	0	8
1	35	4	0	6
1	36	3	0	2
1	37	2	0	2
1	38	1	0	0
1	39	0	0	2
