phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	38	7	0
0	2	37	35	0
0	3	36	145	0
0	4	35	455	0
0	5	34	1371	0
0	6	33	3759	0
0	7	32	8971	0
0	8	31	21949	0
0	9	30	46929	0
0	10	29	91437	0
0	11	28	169427	0
0	12	27	275805	0
0	13	26	400365	0
0	14	25	574615	0
0	15	24	714372	0
0	16	23	859078	0
0	17	22	924762	0
0	18	21	865270	0
0	19	20	818129	0
0	20	19	729995	0
0	21	18	643296	0
0	22	17	534504	0
0	23	16	449309	0
0	24	15	340595	0
0	25	14	229829	0
0	26	13	137537	0
0	27	12	81298	0
0	28	11	49250	0
0	29	10	26663	0
0	30	9	0	317
0	31	8	0	265
0	32	7	0	148
0	33	6	0	75
0	34	5	0	26
0	35	4	0	6
0	36	3	0	3
0	37	2	0	2
0	38	1	0	0
0	39	0	0	2
