phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	39	9	0
0	2	38	51	0
0	3	37	239	0
0	4	36	1053	0
0	5	35	4014	0
0	6	34	12057	0
0	7	33	29035	0
0	8	32	64486	0
0	9	31	134022	0
0	10	30	237067	0
0	11	29	374623	0
0	12	28	530935	0
0	13	27	698884	0
0	14	26	832039	0
0	15	25	878961	0
0	16	24	941260	0
0	17	23	888852	0
0	18	22	808745	0
0	19	21	671467	0
0	20	20	554519	0
0	21	19	421892	0
0	22	18	328342	0
0	23	17	230786	0
0	24	16	142390	0
0	25	15	92921	0
0	26	14	54640	0
0	27	13	33011	0
0	28	12	18750	0
0	29	11	9821	0
0	30	10	4838	0
0	31	9	0	83
0	32	8	0	87
0	33	7	0	69
0	34	6	0	32
0	35	5	0	16
0	36	4	0	4
0	37	3	0	4
0	38	2	0	2
0	39	1	0	0
0	40	0	0	1
