phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	39	7	0
0	2	38	35	0
0	3	37	141	0
0	4	36	472	0
0	5	35	1256	0
0	6	34	3126	0
0	7	33	7748	0
0	8	32	16681	0
0	9	31	35051	0
0	10	30	66723	0
0	11	29	120814	0
0	12	28	213344	0
0	13	27	324769	0
0	14	26	431114	0
0	15	25	607762	0
0	16	24	772636	0
0	17	23	863465	0
0	18	22	936475	0
0	19	21	926135	0
0	20	20	854253	0
0	21	19	760765	0
0	22	18	618011	0
0	23	17	483368	0
0	24	16	343787	0
0	25	15	245028	0
0	26	14	157500	0
0	27	13	98235	0
0	28	12	59288	0
0	29	11	34414	0
0	30	10	17383	0
0	31	9	0	98
0	32	8	0	58
0	33	7	0	25
0	34	6	0	18
0	35	5	0	12
0	36	4	0	5
0	37	3	0	0
0	38	2	0	0
0	39	1	0	1
0	40	0	0	3
1	0	-1	1	0
1	1	39	7	0
1	2	38	29	0
1	3	37	115	0
1	4	36	405	0
1	5	35	1329	0
1	6	34	3748	0
1	7	33	9416	0
1	8	32	21535	0
1	9	31	43634	0
1	10	30	82945	0
1	11	29	143045	0
1	12	28	233755	0
1	13	27	338318	0
1	14	26	449723	0
1	15	25	569584	0
1	16	24	667165	0
1	17	23	759968	0
1	18	22	807873	0
1	19	21	823962	0
1	20	20	779271	0
1	21	19	715361	0
1	22	18	629260	0
1	23	17	541955	0
1	24	16	452893	0
1	25	15	340130	0
1	26	14	235335	0
1	27	13	152743	0
1	28	12	97658	0
1	29	11	61022	0
1	30	10	36967	0
1	31	9	0	392
1	32	8	0	249
1	33	7	0	133
1	34	6	0	49
1	35	5	0	17
1	36	4	0	6
1	37	3	0	2
1	38	2	0	3
1	39	1	0	0
1	40	0	0	7
2	0	-1	1	0
2	1	39	5	0
2	2	38	23	0
2	3	37	91	0
2	4	36	313	0
2	5	35	1069	0
2	6	34	3175	0
2	7	33	7861	0
2	8	32	17287	0
2	9	31	35023	0
2	10	30	67723	0
2	11	29	120445	0
2	12	28	193781	0
2	13	27	280263	0
2	14	26	378647	0
2	15	25	483175	0
2	16	24	577011	0
2	17	23	691567	0
2	18	22	729387	0
2	19	21	736223	0
2	20	20	747813	0
2	21	19	695305	0
2	22	18	593979	0
2	23	17	488881	0
2	24	16	382877	0
2	25	15	274347	0
2	26	14	181921	0
2	27	13	119443	0
2	28	12	77499	0
2	29	11	45129	0
2	30	10	23879	0
2	31	9	0	55
2	32	8	0	39
2	33	7	0	10
2	34	6	0	2
2	35	5	0	2
2	36	4	0	0
2	37	3	0	0
2	38	2	0	0
2	39	1	0	0
2	40	0	0	2
