phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	35	5	0
0	2	34	23	0
0	3	33	75	0
0	4	32	243	0
0	5	31	615	0
0	6	30	1465	0
0	7	29	2917	0
0	8	28	5243	0
0	9	27	9449	0
0	10	26	14985	0
0	11	25	20279	0
0	12	24	28805	0
0	13	23	35339	0
0	14	22	41155	0
0	15	21	45637	0
0	16	20	48359	0
0	17	19	48375	0
0	18	18	42205	0
0	19	17	36143	0
0	20	16	27133	0
0	21	15	20735	0
0	22	14	15535	0
0	23	13	10723	0
0	24	12	7653	0
0	25	11	4787	0
0	26	10	2897	0
0	27	9	0	83
0	28	8	0	59
0	29	7	0	26
0	30	6	0	13
0	31	5	0	7
0	32	4	0	4
0	33	3	0	4
0	34	2	0	4
0	35	1	0	0
0	36	0	0	4
1	0	-1	1	0
1	1	35	5	0
1	2	34	21	0
1	3	33	63	0
1	4	32	195	0
1	5	31	465	0
1	6	30	1079	0
1	7	29	2099	0
1	8	28	3719	0
1	9	27	6641	0
1	10	26	10503	0
1	11	25	14163	0
1	12	24	20379	0
1	13	23	25507	0
1	14	22	30165	0
1	15	21	33701	0
1	16	20	33943	0
1	17	19	30855	0
1	18	18	26543	0
1	19	17	22019	0
1	20	16	17565	0
1	21	15	14283	0
1	22	14	10601	0
1	23	13	7141	0
1	24	12	4527	0
1	25	11	2667	0
1	26	10	1437	0
1	27	9	0	9
1	28	8	0	12
1	29	7	0	6
1	30	6	0	6
1	31	5	0	6
1	32	4	0	1
1	33	3	0	0
1	34	2	0	0
1	35	1	0	0
1	36	0	0	2
