phase	depth	coefficient	nodes
0	0	-1	1
0	1	30	5
0	2	29	23
0	3	28	91
0	4	27	259
0	5	26	715
0	6	25	1677
0	7	24	3627
0	8	23	6913
0	9	22	11349
0	10	21	17405
0	11	20	23343
0	12	19	28333
0	13	18	33887
0	14	17	34825
0	15	16	32461
0	16	15	28617
0	17	14	23737
0	18	13	17051
0	19	12	10970
0	20	11	7277
0	21	10	4293
0	22	9	2461
0	23	8	1337
0	24	7	709
0	25	6	361
0	26	5	159
0	27	4	63
0	28	3	35
0	29	2	15
0	30	1	7
0	31	0	3
1	0	-1	1
1	1	30	5
1	2	29	21
1	3	28	75
1	4	27	211
1	5	26	531
1	6	25	1205
1	7	24	2431
1	8	23	4451
1	9	22	7539
1	10	21	11397
1	11	20	15159
1	12	19	19329
1	13	18	23953
1	14	17	25569
1	15	16	24855
1	16	15	21055
1	17	14	15205
1	18	13	9889
1	19	12	6897
1	20	11	4155
1	21	10	2383
1	22	9	1345
1	23	8	677
1	24	7	339
1	25	6	165
1	26	5	81
1	27	4	45
1	28	3	17
1	29	2	7
1	30	1	1
1	31	0	3
