file,dimension,seed,norm/GH(LLL),norm/GH(Heavy),norm/GH(MCTS),shorten,real nodes,cycles,Total nodes
dim36_seed3.txt,36,3,1.11838,1.04156,1.03048,0.08790,16550827,2,18571124
dim36_seed4.txt,36,4,1.10239,1.04622,1.04622,0.05618,13064889,2,14026355
dim36_seed5.txt,36,5,1.10714,1.05354,1.05354,0.05359,4656151,1,7960508
dim36_seed6.txt,36,6,1.09344,1.06971,1.06922,0.02422,1912452,1,3792025
dim37_seed0.txt,37,0,1.03198,0.93575,0.93575,0.09623,9000000,2,9351876
dim37_seed1.txt,37,1,1.09757,1.04002,1.04002,0.05755,3999378,1,5895753
dim37_seed2.txt,37,2,1.02013,1.02013,1.02013,0.00000,0,1,14736294
dim37_seed3.txt,37,3,1.05349,0.97346,0.97346,0.08004,2825013,1,3430538
dim37_seed4.txt,37,4,1.04987,1.04987,1.01944,0.03043,2172307,1,4097004
dim37_seed5.txt,37,5,0.99984,0.92854,0.92854,0.07130,16454933,2,16833950
dim37_seed6.txt,37,6,1.12849,1.05690,1.12849,0.00000,0,1,9000000
dim38_seed0.txt,38,0,1.20418,1.02764,1.20418,0.00000,0,1,9000000
dim38_seed1.txt,38,1,1.12977,1.00710,1.12977,0.00000,0,1,9000000
dim38_seed2.txt,38,2,1.11758,0.94973,1.11758,0.00000,0,1,9000000
dim38_seed3.txt,38,3,1.11597,1.04810,1.11597,0.00000,0,1,9000000
dim38_seed4.txt,38,4,1.09588,1.03931,1.03931,0.05657,13403013,2,19256670
dim38_seed5.txt,38,5,1.11918,1.06921,1.06921,0.04997,17445436,2,25539957
dim38_seed6.txt,38,6,1.11153,1.02675,1.02675,0.08478,8371908,1,12249767
dim39_seed0.txt,39,0,1.11201,1.00565,1.11201,0.00000,0,1,9000000
dim39_seed1.txt,39,1,0.99039,0.99039,0.99039,0.00000,0,1,9000000
dim39_seed2.txt,39,2,1.07823,1.04845,1.07823,0.00000,0,1,9000000
dim39_seed3.txt,39,3,1.01498,0.95523,0.95523,0.05975,6385467,1,8555038
dim39_seed4.txt,39,4,1.13475,1.03667,1.13475,0.00000,0,1,9000000
dim39_seed5.txt,39,5,1.08604,1.03883,1.08604,0.00000,0,1,9000000
dim39_seed6.txt,39,6,1.05464,1.00429,1.05464,0.00000,0,1,9000000
dim40_seed0.txt,40,0,1.09865,1.04361,1.09865,0.00000,0,1,9000000
dim40_seed1.txt,40,1,1.08392,1.03498,1.08392,0.00000,0,1,9000000
dim40_seed2.txt,40,2,1.07401,1.01770,1.07401,0.00000,0,1,9000000
dim40_seed3.txt,40,3,1.12403,0.96220,1.12403,0.00000,0,1,9000000
dim40_seed4.txt,40,4,1.00519,1.00519,1.00519,0.00000,0,1,6343605
dim40_seed5.txt,40,5,1.03901,1.03901,1.03901,0.00000,0,1,9000000
dim40_seed6.txt,40,6,1.23561,1.02633,1.23561,0.00000,0,1,9000000
dim40_seed5778.txt,40,5778,1.12654,0.98973,1.12654,0.00000,0,1,9000000
