phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000150,41708,41663,45,220,2,0,20851.931518,0.9761629703,0.9761629703,1
0,4.000293,81301,81248,53,518,2,0,19795.086581,0.9761629703,0.9761629703,1
0,4.414541,89052,88999,53,547,2,0,20172.621630,0.9761629703,0.9761629703,1
1,2.000157,40365,40343,22,132,1,0,20180.417058,0.9761629703,0.9761629703,0
1,3.908467,78072,78024,48,399,1,0,19975.360120,0.9761629703,0.9761629703,0
