phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	36	5	0
0	2	35	23	0
0	3	34	103	0
0	4	33	373	0
0	5	32	1125	0
0	6	31	3270	0
0	7	30	8355	0
0	8	29	18792	0
0	9	28	37116	0
0	10	27	63165	0
0	11	26	102032	0
0	12	25	157304	0
0	13	24	216901	0
0	14	23	276214	0
0	15	22	323915	0
0	16	21	363326	0
0	17	20	358352	0
0	18	19	312394	0
0	19	18	252451	0
0	20	17	193803	0
0	21	16	137760	0
0	22	15	90015	0
0	23	14	57012	0
0	24	13	37065	0
0	25	12	23596	0
0	26	11	13847	0
0	27	10	7282	0
0	28	9	0	45
0	29	8	0	25
0	30	7	0	22
0	31	6	0	13
0	32	5	0	8
0	33	4	0	5
0	34	3	0	3
0	35	2	0	1
0	36	1	0	0
0	37	0	0	6
1	0	-1	1	0
1	1	36	5	0
1	2	35	21	0
1	3	34	65	0
1	4	33	193	0
1	5	32	527	0
1	6	31	1245	0
1	7	30	2517	0
1	8	29	4759	0
1	9	28	7379	0
1	10	27	10771	0
1	11	26	15659	0
1	12	25	21737	0
1	13	24	26919	0
1	14	23	29897	0
1	15	22	33777	0
1	16	21	34885	0
1	17	20	33297	0
1	18	19	28991	0
1	19	18	23661	0
1	20	17	17905	0
1	21	16	12703	0
1	22	15	8753	0
1	23	14	5523	0
1	24	13	3327	0
1	25	12	1905	0
1	26	11	1039	0
1	27	10	529	0
1	28	9	0	0
1	29	8	0	0
1	30	7	0	1
1	31	6	0	0
1	32	5	0	0
1	33	4	0	0
1	34	3	0	0
1	35	2	0	0
1	36	1	0	0
1	37	0	0	2
