phase	depth	coefficient	nodes
0	0	-1	1
0	1	31	5
0	2	30	23
0	3	29	79
0	4	28	259
0	5	27	747
0	6	26	1851
0	7	25	4383
0	8	24	8723
0	9	23	15165
0	10	22	22977
0	11	21	37295
0	12	20	53597
0	13	19	70009
0	14	18	89795
0	15	17	98563
0	16	16	95961
0	17	15	86025
0	18	14	73633
0	19	13	59337
0	20	12	42215
0	21	11	28187
0	22	10	17087
0	23	9	9955
0	24	8	5669
0	25	7	3153
0	26	6	1579
0	27	5	741
0	28	4	295
0	29	3	129
0	30	2	57
0	31	1	23
0	32	0	3
1	0	-1	1
1	1	31	5
1	2	30	17
1	3	29	59
1	4	28	203
1	5	27	523
1	6	26	1227
1	7	25	2661
1	8	24	5069
1	9	23	8179
1	10	22	12311
1	11	21	18653
1	12	20	24887
1	13	19	31889
1	14	18	35927
1	15	17	38177
1	16	16	35897
1	17	15	31499
1	18	14	28477
1	19	13	23525
1	20	12	18221
1	21	11	12313
1	22	10	7773
1	23	9	4925
1	24	8	2989
1	25	7	1645
1	26	6	909
1	27	5	447
1	28	4	195
1	29	3	87
1	30	2	31
1	31	1	13
1	32	0	3
