phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	30	5	0
0	2	29	19	0
0	3	28	61	0
0	4	27	173	0
0	5	26	457	0
0	6	25	1055	0
0	7	24	2167	0
0	8	23	3835	0
0	9	22	5971	0
0	10	21	9147	0
0	11	20	12185	0
0	12	19	16311	0
0	13	18	19341	0
0	14	17	22540	0
0	15	16	22383	0
0	16	15	20831	0
0	17	14	19563	0
0	18	13	17346	0
0	19	12	13145	0
0	20	11	9135	0
0	21	10	5925	0
0	22	9	0	101
0	23	8	0	77
0	24	7	0	74
0	25	6	0	27
0	26	5	0	17
0	27	4	0	11
0	28	3	0	5
0	29	2	0	2
0	30	1	0	0
0	31	0	0	4
1	0	-1	1	0
1	1	30	5	0
1	2	29	19	0
1	3	28	55	0
1	4	27	153	0
1	5	26	405	0
1	6	25	911	0
1	7	24	1759	0
1	8	23	2967	0
1	9	22	4543	0
1	10	21	6819	0
1	11	20	8953	0
1	12	19	12073	0
1	13	18	14335	0
1	14	17	16755	0
1	15	16	16873	0
1	16	15	16005	0
1	17	14	14087	0
1	18	13	12309	0
1	19	12	9327	0
1	20	11	6385	0
1	21	10	4303	0
1	22	9	0	81
1	23	8	0	96
1	24	7	0	60
1	25	6	0	36
1	26	5	0	20
1	27	4	0	12
1	28	3	0	7
1	29	2	0	0
1	30	1	0	0
1	31	0	0	2
