phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	36	7	0
0	2	35	35	0
0	3	34	145	0
0	4	33	557	0
0	5	32	1725	0
0	6	31	5205	0
0	7	30	13599	0
0	8	29	30796	0
0	9	28	57728	0
0	10	27	104220	0
0	11	26	164993	0
0	12	25	245461	0
0	13	24	370422	0
0	14	23	493076	0
0	15	22	617592	0
0	16	21	760799	0
0	17	20	879568	0
0	18	19	904161	0
0	19	18	889028	0
0	20	17	795604	0
0	21	16	773571	0
0	22	15	650542	0
0	23	14	489998	0
0	24	13	345451	0
0	25	12	209325	0
0	26	11	122711	0
0	27	10	71533	0
0	28	9	0	751
0	29	8	0	605
0	30	7	0	395
0	31	6	0	239
0	32	5	0	92
0	33	4	0	32
0	34	3	0	16
0	35	2	0	8
0	36	1	0	0
0	37	0	0	9
1	0	-1	1	0
1	1	36	7	0
1	2	35	33	0
1	3	34	117	0
1	4	33	395	0
1	5	32	1215	0
1	6	31	3117	0
1	7	30	7409	0
1	8	29	15911	0
1	9	28	30429	0
1	10	27	56782	0
1	11	26	102302	0
1	12	25	170544	0
1	13	24	270948	0
1	14	23	374541	0
1	15	22	516984	0
1	16	21	631855	0
1	17	20	712672	0
1	18	19	724059	0
1	19	18	721166	0
1	20	17	653782	0
1	21	16	564748	0
1	22	15	420104	0
1	23	14	332544	0
1	24	13	241476	0
1	25	12	165519	0
1	26	11	98845	0
1	27	10	54062	0
1	28	9	0	517
1	29	8	0	399
1	30	7	0	206
1	31	6	0	92
1	32	5	0	36
1	33	4	0	10
1	34	3	0	2
1	35	2	0	2
1	36	1	0	0
1	37	0	0	4
2	0	-1	1	0
2	1	36	5	0
2	2	35	23	0
2	3	34	87	0
2	4	33	253	0
2	5	32	651	0
2	6	31	1709	0
2	7	30	3891	0
2	8	29	7633	0
2	9	28	13639	0
2	10	27	22979	0
2	11	26	35333	0
2	12	25	56449	0
2	13	24	80861	0
2	14	23	109525	0
2	15	22	134073	0
2	16	21	157789	0
2	17	20	163457	0
2	18	19	152433	0
2	19	18	123757	0
2	20	17	98445	0
2	21	16	78603	0
2	22	15	54891	0
2	23	14	39885	0
2	24	13	29515	0
2	25	12	20267	0
2	26	11	12933	0
2	27	10	7441	0
2	28	9	0	75
2	29	8	0	84
2	30	7	0	62
2	31	6	0	28
2	32	5	0	11
2	33	4	0	7
2	34	3	0	0
2	35	2	0	0
2	36	1	0	0
2	37	0	0	2
