phase	depth	coefficient	nodes
0	0	-1	1
0	1	30	5
0	2	29	17
0	3	28	53
0	4	27	137
0	5	26	325
0	6	25	683
0	7	24	1263
0	8	23	2139
0	9	22	3537
0	10	21	5249
0	11	20	6933
0	12	19	8299
0	13	18	8849
0	14	17	9747
0	15	16	9789
0	16	15	9029
0	17	14	7483
0	18	13	5753
0	19	12	3994
0	20	11	2593
0	21	10	1717
0	22	9	989
0	23	8	599
0	24	7	347
0	25	6	205
0	26	5	93
0	27	4	37
0	28	3	27
0	29	2	11
0	30	1	5
0	31	0	3
1	0	-1	1
1	1	30	5
1	2	29	17
1	3	28	51
1	4	27	133
1	5	26	319
1	6	25	627
1	7	24	1159
1	8	23	1841
1	9	22	2623
1	10	21	3263
1	11	20	3673
1	12	19	4117
1	13	18	4563
1	14	17	5071
1	15	16	4791
1	16	15	4363
1	17	14	3777
1	18	13	2911
1	19	12	2225
1	20	11	1501
1	21	10	1001
1	22	9	603
1	23	8	363
1	24	7	221
1	25	6	119
1	26	5	57
1	27	4	29
1	28	3	13
1	29	2	5
1	30	1	5
1	31	0	3
