phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	7
0	2	35	39
0	3	34	179
0	4	33	699
0	5	32	2445
0	6	31	7239
0	7	30	19029
0	8	29	44223
0	9	28	98069
0	10	27	199899
0	11	26	376361
0	12	25	627117
0	13	24	971909
0	14	23	1279001
0	15	22	1290159
0	16	21	1096936
0	17	20	831303
0	18	19	601480
0	19	18	470572
0	20	17	340489
0	21	16	266681
0	22	15	185892
0	23	14	120329
0	24	13	74587
0	25	12	41977
0	26	11	25566
0	27	10	13686
0	28	9	7427
0	29	8	3651
0	30	7	1717
0	31	6	789
0	32	5	313
0	33	4	129
0	34	3	65
0	35	2	20
0	36	1	11
0	37	0	4
1	0	-1	1
1	1	36	7
1	2	35	37
1	3	34	151
1	4	33	531
1	5	32	1737
1	6	31	4819
1	7	30	12693
1	8	29	29215
1	9	28	58355
1	10	27	107281
1	11	26	181415
1	12	25	310387
1	13	24	449805
1	14	23	624708
1	15	22	821024
1	16	21	909376
1	17	20	880282
1	18	19	783707
1	19	18	682217
1	20	17	526008
1	21	16	384357
1	22	15	267154
1	23	14	169223
1	24	13	106242
1	25	12	65144
1	26	11	39770
1	27	10	22601
1	28	9	12419
1	29	8	6453
1	30	7	3079
1	31	6	1349
1	32	5	615
1	33	4	277
1	34	3	110
1	35	2	44
1	36	1	19
1	37	0	8
2	0	-1	1
2	1	36	5
2	2	35	19
2	3	34	71
2	4	33	207
2	5	32	559
2	6	31	1349
2	7	30	2719
2	8	29	4565
2	9	28	7573
2	10	27	11345
2	11	26	16361
2	12	25	22655
2	13	24	31101
2	14	23	37445
2	15	22	40661
2	16	21	40587
2	17	20	38977
2	18	19	33789
2	19	18	25993
2	20	17	18703
2	21	16	13507
2	22	15	9187
2	23	14	6105
2	24	13	3629
2	25	12	2107
2	26	11	1101
2	27	10	523
2	28	9	291
2	29	8	105
2	30	7	43
2	31	6	15
2	32	5	11
2	33	4	5
2	34	3	5
2	35	2	5
2	36	1	3
2	37	0	3
