phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	7
0	2	35	31
0	3	34	127
0	4	33	459
0	5	32	1563
0	6	31	4887
0	7	30	13073
0	8	29	31939
0	9	28	69561
0	10	27	132257
0	11	26	223206
0	12	25	374341
0	13	24	553111
0	14	23	681199
0	15	22	823362
0	16	21	936709
0	17	20	971929
0	18	19	899971
0	19	18	820998
0	20	17	716813
0	21	16	564627
0	22	15	427067
0	23	14	293861
0	24	13	192316
0	25	12	116116
0	26	11	68400
0	27	10	40687
0	28	9	22119
0	29	8	10652
0	30	7	4960
0	31	6	2132
0	32	5	911
0	33	4	378
0	34	3	150
0	35	2	58
0	36	1	16
0	37	0	6
1	0	-1	1
1	1	36	5
1	2	35	27
1	3	34	115
1	4	33	403
1	5	32	1239
1	6	31	3303
1	7	30	8301
1	8	29	18317
1	9	28	35211
1	10	27	62455
1	11	26	104841
1	12	25	162121
1	13	24	235925
1	14	23	302139
1	15	22	363213
1	16	21	414127
1	17	20	459229
1	18	19	441581
1	19	18	426163
1	20	17	403257
1	21	16	338973
1	22	15	276575
1	23	14	195611
1	24	13	130771
1	25	12	82789
1	26	11	48945
1	27	10	29637
1	28	9	17119
1	29	8	8859
1	30	7	4417
1	31	6	1995
1	32	5	831
1	33	4	343
1	34	3	135
1	35	2	23
1	36	1	7
1	37	0	3
2	0	-1	1
2	1	36	5
2	2	35	23
2	3	34	95
2	4	33	333
2	5	32	1113
2	6	31	2869
2	7	30	7281
2	8	29	15657
2	9	28	31169
2	10	27	56045
2	11	26	96729
2	12	25	141095
2	13	24	186753
2	14	23	232099
2	15	22	270345
2	16	21	305481
2	17	20	341685
2	18	19	353587
2	19	18	345629
2	20	17	288015
2	21	16	240333
2	22	15	172205
2	23	14	120677
2	24	13	81843
2	25	12	49365
2	26	11	28541
2	27	10	16121
2	28	9	8235
2	29	8	4291
2	30	7	2045
2	31	6	891
2	32	5	373
2	33	4	151
2	34	3	57
2	35	2	21
2	36	1	5
2	37	0	3
