phase	depth	coefficient	nodes
0	0	-1	1
0	1	34	5
0	2	33	23
0	3	32	101
0	4	31	317
0	5	30	925
0	6	29	2319
0	7	28	4871
0	8	27	11019
0	9	26	21925
0	10	25	39635
0	11	24	63567
0	12	23	97490
0	13	22	143933
0	14	21	180559
0	15	20	197927
0	16	19	189061
0	17	18	178582
0	18	17	150195
0	19	16	129261
0	20	15	100838
0	21	14	75386
0	22	13	53628
0	23	12	36388
0	24	11	23065
0	25	10	13707
0	26	9	7392
0	27	8	3604
0	28	7	1767
0	29	6	726
0	30	5	358
0	31	4	145
0	32	3	64
0	33	2	29
0	34	1	13
0	35	0	6
1	0	-1	1
1	1	34	5
1	2	33	23
1	3	32	71
1	4	31	193
1	5	30	513
1	6	29	1199
1	7	28	2797
1	8	27	5569
1	9	26	9767
1	10	25	14987
1	11	24	21613
1	12	23	29935
1	13	22	41183
1	14	21	50875
1	15	20	58235
1	16	19	65021
1	17	18	62671
1	18	17	59127
1	19	16	50123
1	20	15	39055
1	21	14	29867
1	22	13	20539
1	23	12	13931
1	24	11	8621
1	25	10	5297
1	26	9	2721
1	27	8	1485
1	28	7	843
1	29	6	429
1	30	5	191
1	31	4	77
1	32	3	37
1	33	2	13
1	34	1	5
1	35	0	3
