phase	depth	coefficient	nodes
0	0	-1	1
0	1	30	5
0	2	29	19
0	3	28	57
0	4	27	147
0	5	26	365
0	6	25	785
0	7	24	1539
0	8	23	2795
0	9	22	4429
0	10	21	6639
0	11	20	8935
0	12	19	11221
0	13	18	13745
0	14	17	14945
0	15	16	15295
0	16	15	14645
0	17	14	12651
0	18	13	10339
0	19	12	8567
0	20	11	6525
0	21	10	4560
0	22	9	2887
0	23	8	1966
0	24	7	1164
0	25	6	561
0	26	5	302
0	27	4	163
0	28	3	73
0	29	2	25
0	30	1	9
0	31	0	4
1	0	-1	1
1	1	30	5
1	2	29	17
1	3	28	51
1	4	27	133
1	5	26	339
1	6	25	687
1	7	24	1233
1	8	23	2099
1	9	22	3255
1	10	21	4951
1	11	20	6415
1	12	19	7637
1	13	18	8529
1	14	17	9389
1	15	16	9299
1	16	15	8491
1	17	14	7957
1	18	13	7201
1	19	12	5841
1	20	11	4319
1	21	10	2921
1	22	9	2009
1	23	8	1221
1	24	7	631
1	25	6	337
1	26	5	167
1	27	4	97
1	28	3	39
1	29	2	15
1	30	1	5
1	31	0	3
