phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	34	5	0
0	2	33	23	0
0	3	32	95	0
0	4	31	303	0
0	5	30	849	0
0	6	29	2057	0
0	7	28	4267	0
0	8	27	8195	0
0	9	26	13950	0
0	10	25	22396	0
0	11	24	30296	0
0	12	23	37074	0
0	13	22	47451	0
0	14	21	55143	0
0	15	20	58555	0
0	16	19	60796	0
0	17	18	60227	0
0	18	17	52018	0
0	19	16	44075	0
0	20	15	33704	0
0	21	14	24195	0
0	22	13	18201	0
0	23	12	13081	0
0	24	11	8413	0
0	25	10	4879	0
0	26	9	0	68
0	27	8	0	62
0	28	7	0	48
0	29	6	0	24
0	30	5	0	18
0	31	4	0	10
0	32	3	0	4
0	33	2	0	2
0	34	1	0	2
0	35	0	0	3
1	0	-1	1	0
1	1	34	5	0
1	2	33	23	0
1	3	32	83	0
1	4	31	261	0
1	5	30	651	0
1	6	29	1565	0
1	7	28	3373	0
1	8	27	5995	0
1	9	26	9203	0
1	10	25	12817	0
1	11	24	17993	0
1	12	23	24233	0
1	13	22	31311	0
1	14	21	37587	0
1	15	20	41093	0
1	16	19	43253	0
1	17	18	44123	0
1	18	17	38181	0
1	19	16	32923	0
1	20	15	24773	0
1	21	14	19361	0
1	22	13	14369	0
1	23	12	9787	0
1	24	11	6007	0
1	25	10	3449	0
1	26	9	0	37
1	27	8	0	28
1	28	7	0	13
1	29	6	0	10
1	30	5	0	5
1	31	4	0	3
1	32	3	0	0
1	33	2	0	0
1	34	1	0	0
1	35	0	0	2
