phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	36	7	0
0	2	35	31	0
0	3	34	115	0
0	4	33	401	0
0	5	32	1241	0
0	6	31	3125	0
0	7	30	7661	0
0	8	29	16021	0
0	9	28	31501	0
0	10	27	60651	0
0	11	26	101971	0
0	12	25	155215	0
0	13	24	235649	0
0	14	23	328259	0
0	15	22	446955	0
0	16	21	528702	0
0	17	20	559176	0
0	18	19	540462	0
0	19	18	494100	0
0	20	17	397127	0
0	21	16	276130	0
0	22	15	191615	0
0	23	14	129673	0
0	24	13	77525	0
0	25	12	45534	0
0	26	11	25256	0
0	27	10	13392	0
0	28	9	0	121
0	29	8	0	88
0	30	7	0	37
0	31	6	0	37
0	32	5	0	16
0	33	4	0	4
0	34	3	0	4
0	35	2	0	4
0	36	1	0	0
0	37	0	0	5
1	0	-1	1	0
1	1	36	5	0
1	2	35	25	0
1	3	34	93	0
1	4	33	269	0
1	5	32	747	0
1	6	31	1673	0
1	7	30	3813	0
1	8	29	7741	0
1	9	28	14909	0
1	10	27	25057	0
1	11	26	37265	0
1	12	25	54067	0
1	13	24	70731	0
1	14	23	86541	0
1	15	22	90645	0
1	16	21	95211	0
1	17	20	98421	0
1	18	19	91875	0
1	19	18	78555	0
1	20	17	60977	0
1	21	16	48207	0
1	22	15	36055	0
1	23	14	25545	0
1	24	13	17733	0
1	25	12	10793	0
1	26	11	6475	0
1	27	10	3659	0
1	28	9	0	33
1	29	8	0	26
1	30	7	0	27
1	31	6	0	12
1	32	5	0	5
1	33	4	0	2
1	34	3	0	0
1	35	2	0	0
1	36	1	0	0
1	37	0	0	2
