phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	35	5	0
0	2	34	23	0
0	3	33	80	0
0	4	32	211	0
0	5	31	505	0
0	6	30	1225	0
0	7	29	2424	0
0	8	28	4609	0
0	9	27	8066	0
0	10	26	14040	0
0	11	25	22011	0
0	12	24	32590	0
0	13	23	43302	0
0	14	22	52963	0
0	15	21	58730	0
0	16	20	57973	0
0	17	19	54717	0
0	18	18	54461	0
0	19	17	48270	0
0	20	16	41550	0
0	21	15	33089	0
0	22	14	25801	0
0	23	13	18198	0
0	24	12	11928	0
0	25	11	7220	0
0	26	10	4289	0
0	27	9	0	39
0	28	8	0	49
0	29	7	0	35
0	30	6	0	30
0	31	5	0	23
0	32	4	0	18
0	33	3	0	7
0	34	2	0	6
0	35	1	0	0
0	36	0	0	5
